# Old comments in file ./output7_vividvar/dpm_alphaBar_2-100-time_uniform.txt
# order     : 2
# steps     : 100
# skip_type : time_uniform
# data_type : alpha_bar
# 
# Old alpha_bar and its timestep
# 0.99780953    9
# 0.99374515   19
# 0.98773104   29
# 0.97980201   39
# 0.97000456   49
# 0.95839578   59
# 0.94504291   69
# 0.93002242   79
# 0.91341996   89
# 0.89532876   99
# 0.87584955  109
# 0.85508835  119
# 0.83315718  129
# 0.81017196  139
# 0.78625154  149
# 0.76151741  159
# 0.73609179  169
# 0.71009684  179
# 0.68365443  189
# 0.65688461  199
# 0.62990409  209
# 0.60282707  219
# 0.57576317  229
# 0.54881668  239
# 0.52208734  249
# 0.49566865  259
# 0.46964699  269
# 0.44410276  279
# 0.41910937  289
# 0.39473221  299
# 0.37103009  309
# 0.34805411  319
# 0.32584834  329
# 0.30444932  339
# 0.28388688  349
# 0.26418364  359
# 0.24535610  369
# 0.22741453  379
# 0.21036287  389
# 0.19420020  399
# 0.17892069  409
# 0.16451302  419
# 0.15096261  429
# 0.13825075  439
# 0.12635559  449
# 0.11525249  459
# 0.10491432  469
# 0.09531191  479
# 0.08641478  489
# 0.07819104  499
# 0.07060793  509
# 0.06363231  519
# 0.05723077  529
# 0.05136989  539
# 0.04601666  549
# 0.04113853  559
# 0.03670360  569
# 0.03268099  579
# 0.02904078  589
# 0.02575418  599
# 0.02279360  609
# 0.02013281  619
# 0.01774685  629
# 0.01561221  639
# 0.01370670  649
# 0.01200952  659
# 0.01050132  669
# 0.00916405  679
# 0.00798096  689
# 0.00693661  699
# 0.00601678  709
# 0.00520841  719
# 0.00449956  729
# 0.00387935  739
# 0.00333788  749
# 0.00286620  759
# 0.00245621  769
# 0.00210062  779
# 0.00179288  789
# 0.00152714  799
# 0.00129817  809
# 0.00110129  819
# 0.00093239  829
# 0.00078780  839
# 0.00066428  849
# 0.00055900  859
# 0.00046946  869
# 0.00039346  879
# 0.00032910  889
# 0.00027471  899
# 0.00022884  909
# 0.00019025  919
# 0.00015784  929
# 0.00013069  939
# 0.00010799  949
# 0.00008906  959
# 0.00007329  969
# 0.00006020  979
# 0.00004934  989
# 0.00004036  998
# 
# lr           : 1e-06
# n_epochs     : 10000
# aa_low       : 0.0001
# aa_low_lambda: 10000000
# beta_schedule: linear
# torch.seed() : 15006727344867609481
# alpha_bar_dir: ./exp/dpm_alphaBar
# Epoch        : 009999; loss:664.703613 = 664.700297 + 0.003316
# loss_var     : 898.279815 => 664.700297
# model.learning_portion: 0.01
# model.out_channels    : 100
# aacum : ts : alpha   ; coef    *weight     =numerator; numerator/aacum   =sub_var
0.029979: 586: 0.889709; 0.012386*  24.642670= 0.305236;  0.305236/0.029979= 10.181805
0.026619: 596: 0.887940; 0.0     *   0.0     = 0.0     ;  0.0     /0.026619=  0.0     
0.023589: 606: 0.886172; 0.013105*  20.768178= 0.272168;  0.272168/0.023589= 11.537830
0.020862: 616: 0.884409; 0.0     *   0.0     = 0.0     ;  0.0     /0.020862=  0.0     
0.018414: 626: 0.882650; 0.013854*  17.356742= 0.240464;  0.240464/0.018414= 13.058552
0.016221: 636: 0.880893; 0.0     *   0.0     = 0.0     ;  0.0     /0.016221=  0.0     
0.014261: 646: 0.879139; 0.014633*  14.301733= 0.209284;  0.209284/0.014261= 14.675757
0.012512: 656: 0.877388; 0.0     *   0.0     = 0.0     ;  0.0     /0.012512=  0.0     
0.010956: 666: 0.875642; 0.015442*  11.729069= 0.181117;  0.181117/0.010956= 16.531223
0.009574: 676: 0.873897; 0.0     *   0.0     = 0.0     ;  0.0     /0.009574=  0.0     
0.008350: 686: 0.872157; 0.016278*   9.501521= 0.154665;  0.154665/0.008350= 18.521862
0.007268: 695: 0.870417; 0.0     *   0.0     = 0.0     ;  0.0     /0.007268=  0.0     
0.006314: 705: 0.868683; 0.017142*   7.590081= 0.130107;  0.130107/0.006314= 20.606484
0.005474: 715: 0.866952; 0.0     *   0.0     = 0.0     ;  0.0     /0.005474=  0.0     
0.004736: 725: 0.865223; 0.018031*   6.017790= 0.108508;  0.108508/0.004736= 22.910932
0.004090: 735: 0.863495; 0.0     *   0.0     = 0.0     ;  0.0     /0.004090=  0.0     
0.003524: 745: 0.861776; 0.018947*   4.716361= 0.089359;  0.089359/0.003524= 25.354919
0.003031: 755: 0.860061; 0.0     *   0.0     = 0.0     ;  0.0     /0.003031=  0.0     
0.002602: 765: 0.858336; 0.019885*   3.644908= 0.072480;  0.072480/0.002602= 27.858517
0.002229: 775: 0.856630; 0.0     *   0.0     = 0.0     ;  0.0     /0.002229=  0.0     
0.001905: 785: 0.854921; 0.020847*   2.782252= 0.058002;  0.058002/0.001905= 30.441393
0.001626: 795: 0.853205; 0.0     *   0.0     = 0.0     ;  0.0     /0.001626=  0.0     
0.001384: 805: 0.851509; 0.021834*   2.099483= 0.045840;  0.045840/0.001384= 33.114958
0.001176: 815: 0.849817; 0.0     *   0.0     = 0.0     ;  0.0     /0.001176=  0.0     
0.000998: 825: 0.848108; 0.022839*   1.566743= 0.035783;  0.035783/0.000998= 35.865895
0.000844: 835: 0.846422; 0.0     *   0.0     = 0.0     ;  0.0     /0.000844=  0.0     
0.000713: 844: 0.844727; 0.023868*   1.155020= 0.027567;  0.027567/0.000713= 38.645026
0.000601: 854: 0.843020; 0.0     *   0.0     = 0.0     ;  0.0     /0.000601=  0.0     
0.000506: 864: 0.841364; 0.024919*   0.845919= 0.021079;  0.021079/0.000506= 41.660741
0.000425: 874: 0.839642; 0.0     *   0.0     = 0.0     ;  0.0     /0.000425=  0.0     
0.000356: 884: 0.837987; 0.025992*   0.616697= 0.016029;  0.016029/0.000356= 45.025203
0.000298: 894: 0.836303; 0.0     *   0.0     = 0.0     ;  0.0     /0.000298=  0.0     
0.000249: 904: 0.834703; 0.027067*   0.447902= 0.012124;  0.012124/0.000249= 48.784322
0.000207: 914: 0.832925; 0.0     *   0.0     = 0.0     ;  0.0     /0.000207=  0.0     
0.000172: 924: 0.831391; 0.028177*   0.327018= 0.009214;  0.009214/0.000172= 53.542735
0.000143: 934: 0.829598; 0.0     *   0.0     = 0.0     ;  0.0     /0.000143=  0.0     
0.000118: 944: 0.827995; 0.029315*   0.240192= 0.007041;  0.007041/0.000118= 59.564694
